id,title,category,sub_category,provider,mode,level,status,relevance,topics,tools,notes,url,last_checked
lshtm-model-fitting-inference-id-dynamics,Model Fitting and Inference for Infectious Disease Dynamics,Infectious disease modelling and outbreak analytics,Model fitting and inference,LSHTM,in-person,advanced,recurring,core,MCMC; particle filters; ABC; observation models; stochastic models,Julia; Turing.jl,Directly relevant for fitting stochastic infectious disease models.,https://www.lshtm.ac.uk/study/courses/short-courses/infectious-diseases-dynamics,2026-07-03
lshtm-outbreak-analytics-r,Outbreak Analytics and Applied Modelling in R,Infectious disease modelling and outbreak analytics,Outbreak analytics,LSHTM,online,intermediate,recurring,recommended,linelist; Rt; severity; forecasting; scenario modelling; outbreak analytics,R; Epiverse; Reconverse,Good practical course for real-time outbreak analytics workflows.,https://www.lshtm.ac.uk/study/courses/short-courses/outbreaks-analytics-R,2026-07-03
epiverse-trace-learning,Epiverse-TRACE learning materials,Infectious disease modelling and outbreak analytics,Outbreak analytics,Epiverse-TRACE,self-study,intermediate,self-paced,reference,outbreak data cleaning; real-time analysis; forecasting; scenario modelling,R,Useful free tutorials for outbreak analytics; some materials may still be under active development.,https://epiverse-trace.github.io/learn.html,2026-07-03
fun-mooc-modeling-infectious-diseases,Modeling of Infectious Diseases,Infectious disease modelling and outbreak analytics,Mathematical modelling intro,FUN-MOOC,online,beginner,self-paced,recommended,SIR; R0; effective R; interventions; ODE modelling,,Accessible introductory course for mathematical infectious disease modelling.,https://www.fun-mooc.fr/en/courses/modeling-infectious-diseases/,2026-07-03
pasteur-modeling-infectious-diseases,Pasteur Course: Modeling of Infectious Diseases,Infectious disease modelling and outbreak analytics,Mathematical modelling intro,Institut Pasteur,in-person,intermediate,recurring,recommended,mathematical infectious disease modelling; public health applications,,One-week course in Paris; next edition should be checked on the official page.,https://research.pasteur.fr/en/course/pasteur-course-modeling-of-infectious-diseases/,2026-07-03
jhu-infectious-disease-modeling-practice,Infectious Disease Modeling in Practice,Infectious disease modelling and outbreak analytics,Applied modelling,Johns Hopkins University / Coursera,online,beginner,self-paced,reference,modelling use cases; assumptions; public-health decision-making,,Conceptual course on how infectious disease models are used in practice.,https://www.coursera.org/learn/infectious-disease-modeling-in-practice,2026-07-03
jhu-transmission-models-decision-makers,Infectious Disease Transmission Models for Decision-Makers,Infectious disease modelling and outbreak analytics,Decision-maker intro,Johns Hopkins University / Coursera,online,beginner,self-paced,reference,model types; model use; model limitations; policy interpretation,,Suitable for non-modellers who need to understand transmission model outputs.,https://www.coursera.org/learn/infectious-disease-transmission-models-for-decision-makers,2026-07-03
espidam,European Summer Program in Infectious Disease Analysis and Modelling,Mathematical epidemiology and stochastic epidemic models,Summer school,Stockholm University,in-person,intermediate,recurring,core,stochastic models; networks; forecasting; phylodynamics; infectious disease data analysis,,One of the most relevant European summer programmes for infectious disease modelling.,https://www.su.se/english/divisions/department-of-mathematics/research/conferences-and-seminars/espidam-the-european-summer-program-in-infectious-disease-analysis-and-modelling,2026-07-03
espidam-stochastic-epidemic-models-inference,Stochastic epidemic models with inference,Mathematical epidemiology and stochastic epidemic models,Stochastic epidemic models,ESPIDAM / Stockholm University,in-person,advanced,recurring,core,stochastic epidemic models; SEIR; multitype models; household models; network epidemics; R0; Rt; inference,,Directly relevant for stochastic epidemic theory and inference.,https://kurser.math.su.se/course/view.php?id=1784&lang=en,2026-07-03
espidam-networks-contact-patterns,Networks and contact patterns in infectious disease models,Mathematical epidemiology and stochastic epidemic models,Infectious disease networks,ESPIDAM / Stockholm University,in-person,advanced,recurring,core,contact patterns; mobility networks; sexual networks; dynamic networks; metapopulation models,,"Highly relevant for contact matrices, sexual networks, mobility, and metapopulation models.",https://kurser.math.su.se/course/view.php?id=1788&lang=en,2026-07-03
espidam-infectious-disease-data-analysis,Infectious disease data analysis,Mathematical epidemiology and stochastic epidemic models,Infectious disease data analysis,ESPIDAM / Stockholm University,in-person,advanced,recurring,recommended,Bayesian inference; transmission model calibration; serology; infectious disease data analysis,,Good bridge between transmission models and data analysis.,https://kurser.math.su.se/course/view.php?id=1787&lang=en,2026-07-03
sismid-network-modeling-for-epidemics,Network Modeling for Epidemics,Mathematical epidemiology and stochastic epidemic models,Network epidemics,SISMID / EpiModel,in-person,advanced,recurring,specialized,ERGM; TERGM; dynamic networks; stochastic simulation; epidemic modelling,R; EpiModel,Strong course for network epidemic simulation; eligibility may depend on location and format.,https://epimodel.github.io/sismid/,2026-07-03
sismid,SISMID,Mathematical epidemiology and stochastic epidemic models,Infectious disease statistics institute,Emory University,hybrid,advanced,recurring,specialized,statistics; infectious disease modelling; inference; network modelling,,Modular short-course institute; online eligibility may be restricted.,https://sismid.sph.emory.edu/,2026-07-03
mit-introduction-stochastic-processes,Introduction to Stochastic Processes,Probability and stochastic processes,Stochastic processes,MIT OpenCourseWare,self-study,advanced,self-paced,core,Markov chains; random walks; martingales; Galton-Watson trees,,Useful foundation for branching processes and stochastic epidemic theory.,https://ocw.mit.edu/courses/18-445-introduction-to-stochastic-processes-spring-2015/,2026-07-03
mit-discrete-stochastic-processes,Discrete Stochastic Processes,Probability and stochastic processes,Stochastic processes,MIT OpenCourseWare,self-study,advanced,self-paced,reference,discrete stochastic processes; renewal processes; Markov chains; queueing,,Applied probability course with useful background for stochastic modelling.,https://ocw.mit.edu/courses/6-262-discrete-stochastic-processes-spring-2011/,2026-07-03
mitx-probability-uncertainty-data,Probability — The Science of Uncertainty and Data,Probability and stochastic processes,Probability,MITx / edX,online,beginner,self-paced,recommended,probability; inference; Markov chains; uncertainty,,Good prerequisite if probability theory needs strengthening before stochastic processes.,https://www.edx.org/learn/probability/massachusetts-institute-of-technology-probability-the-science-of-uncertainty-and-data,2026-07-03
coursera-dtmc-monte-carlo,Discrete-Time Markov Chains and Monte Carlo Methods,Probability and stochastic processes,Markov chains,Coursera,online,beginner,self-paced,reference,transition matrices; absorbing states; limiting distributions; Monte Carlo,,Introductory option for discrete-time Markov chains.,https://www.coursera.org/learn/discrete-time-markov-chains-monte-carlo-methods,2026-07-03
utrecht-network-science,Data Science: Network Science,"Network science, complex systems, and ABM",Network science,Utrecht Summer School,in-person,intermediate,recurring,core,network science; community detection; link prediction; network inference; contagion,R; Python,Most direct short course in the Netherlands for network science.,https://utrechtsummerschool.nl/courses/data-science/data-science-network-science,2026-07-03
dutch-netsci-symposium,Dutch NetSci Summer Symposium,"Network science, complex systems, and ABM",Symposium,Leiden University,in-person,all levels,recurring,recommended,network science; complex networks; social network analysis,,Research networking event rather than a course.,https://www.universiteitleiden.nl/en/events/2026/06/dutch-netsci-summer-symposium-2026,2026-07-03
utrecht-introduction-complex-systems,Introduction to Complex Systems,"Network science, complex systems, and ABM",Complex systems,Utrecht Summer School,in-person,beginner,recurring,recommended,nonlinear dynamics; self-organization; networks; complex systems,,Broader complex-systems course; less specific than a network science course.,https://utrechtsummerschool.nl/courses/science/introduction-to-complex-systems,2026-07-03
lake-como-complex-networks,"Complex Networks: Theory, Methods, and Applications","Network science, complex systems, and ABM",Complex networks,Lake Como School,in-person,advanced,recurring,specialized,complex networks; higher-order networks; temporal networks; contagion; mobility,,Advanced European summer-school option for complex networks.,https://ntml.lakecomoschool.org/,2026-07-03
lipari-complex-networks,Complex networks: from socio-economic systems to biology and brain,"Network science, complex systems, and ABM",Complex networks,Lipari School,in-person,advanced,recurring,specialized,complex networks; socio-economic systems; biology; brain networks,,Broad complex-network summer school.,https://secs26.liparischool.it/,2026-07-03
bse-networks-complex-systems,Networks and Complex Systems,"Network science, complex systems, and ABM",Networks and complexity,Barcelona School of Economics,in-person,intermediate,recurring,recommended,random graphs; percolation; contagion; diffusion; resilience,,Network and complex-systems course with an economic and social-systems orientation.,https://bse.eu/summer-school/complexity-and-emergence-in-economic-and-social-systems/networks-and-emergence-in-complex-systems,2026-07-03
methodsnet-summer-school,MethodsNET Summer School with CEU,"Network science, complex systems, and ABM",Social network analysis,MethodsNET / CEU,in-person,intermediate,recurring,recommended,applied social network analysis; discourse network analysis; inferential network analysis,,Useful for social-network-analysis methodology rather than physical network science.,https://methodsnet.org/summer-school/methodsnet-summer-school-with-ceu-2026/,2026-07-03
ecpr-methods-school,ECPR Methods School,"Network science, complex systems, and ABM",Social network analysis,ECPR,in-person,beginner,recurring,recommended,social network analysis; R; social science methods,R,Social-science-oriented SNA training.,https://ecpr.eu/MethodsSchool,2026-07-03
polnet-school-sna,POLNET School on Social Network Analysis,"Network science, complex systems, and ABM",Social network analysis,Universität Konstanz / ECPR,in-person,intermediate,recurring,specialized,political networks; ERGM; REM; discourse networks; ABM,,Political and social-network-analysis school with strong methodological content.,https://ecpr.eu/Events/357,2026-07-03
eusn-workshops,EUSN Workshops,"Network science, complex systems, and ABM",Social network analysis workshops,European Conference on Social Networks / INSNA,in-person,intermediate,recurring,specialized,RSiena; multiplex networks; two-mode networks; relational event models,R,Useful for method-specific social network analysis workshops.,https://www.insna.org/events/the-8th-european-conference-on-social-networks-eusn-2026,2026-07-03
behave-abm-summer-school,BEHAVE Summer School on Agent-Based Modelling,"Network science, complex systems, and ABM",Agent-based modelling,BEHAVE / CoMSES,hybrid,beginner,recurring,specialized,agent-based modelling; simulation; NetLogo; hands-on project,NetLogo,Adjacent option for simulation-based epidemic and behavioural modelling.,https://www.comses.net/events/?tags=Behave+Summer+School,2026-07-03
netsci-nl-education,Network Science Education in the Netherlands,"Network science, complex systems, and ABM",Course list,Dutch Network Science Society,reference,all levels,self-paced,reference,network science; complex systems; Dutch university courses,,Useful directory for finding Dutch network-science and complex-systems courses.,https://www.netsci.nl/education/,2026-07-03
diekmann-heesterbeek-britton,Mathematical Tools for Understanding Infectious Disease Dynamics,"Books, papers, and reference materials",Textbook,"Diekmann, Heesterbeek & Britton",self-study,advanced,reference,core,deterministic models; stochastic models; R0; next-generation matrix; model formulation,,Core theoretical reference for mathematical infectious disease dynamics.,https://research-portal.uu.nl/en/publications/mathematical-tools-for-understanding-infectious-disease-dynamics/,2026-07-03
keeling-rohani,Modeling Infectious Diseases in Humans and Animals,"Books, papers, and reference materials",Textbook,Keeling & Rohani,self-study,intermediate,reference,core,epidemic models; heterogeneity; multipathogen models; stochastic dynamics; spatial models; control,,Broad applied reference and model catalogue for infectious disease modelling.,https://www.jstor.org/stable/j.ctvcm4gk0,2026-07-03
allen-primer-stochastic-epidemic-models,A primer on stochastic epidemic models,"Books, papers, and reference materials",Primer paper,Linda J. S. Allen,self-study,intermediate,reference,recommended,CTMC; SDE; stochastic SIR; outbreak probability,,Short primer on stochastic epidemic models.,https://www.sciencedirect.com/science/article/pii/S2468042716300495,2026-07-03
miller-pgf-primer,A primer on the use of probability generating functions in infectious disease modeling,"Books, papers, and reference materials",Tutorial paper,Joel C. Miller,self-study,intermediate,reference,recommended,probability generating functions; early outbreak; epidemic probability; final size,,Useful tutorial for PGF-based reasoning in epidemic models.,https://arxiv.org/abs/1803.05136,2026-07-03
britton-giardina-statistical-inference-id,Introduction to statistical inference for infectious diseases,"Books, papers, and reference materials",Review/tutorial,Britton & Giardina,self-study,advanced,reference,recommended,stochastic epidemic model inference; R0; final size; temporal data,,Useful overview of inference for stochastic epidemic models.,https://arxiv.org/abs/1411.3138,2026-07-03
britton-pardoux-stochastic-epidemics-homogeneous,Stochastic epidemics in a homogeneous community,"Books, papers, and reference materials",Lecture notes,Britton & Pardoux,self-study,advanced,reference,specialized,stochastic compartmental epidemics; early phase; final size; LLN; CLT,,Mathematical lecture notes on stochastic epidemics.,https://arxiv.org/abs/1808.05350,2026-07-03
britton-lindenstrand-stochasticity-matters,Epidemic modelling: aspects where stochasticity matters,"Books, papers, and reference materials",Perspective,Britton & Lindenstrand,self-study,intermediate,reference,reference,stochasticity; outbreak probability; early growth,,Short piece on when stochasticity matters in epidemic modelling.,https://arxiv.org/abs/0812.3505,2026-07-03
